gross_perforated_length,total_proppant,total_fluid,true_vertical_depth,ffs_frac_type,proppant_intensity,frac_fluid_intensity,proppant_to_frac_fluid_ratio,frac_fluid_to_proppant_ratio,bin_lateral_length,relative_well_position,well_family_relationship,frac_seasoning,OilPeakRate,dist-x,dist-y,bottom-dist
3355.314961,111142.8571,562187.6703,8718.503937000001,Slickwater Crosslink Hybrid,33.12441856,167.5513855,0.197697073,5.0582438210000005,1.0,Standalone Well,Standalone Well,31.0,35.41595786,718.1269999998622,4751.055999999982,4081.190845068793
3786.417323,93000.0,671352.7109999999,8544.291339,Slickwater Crosslink Hybrid,24.56147648,177.3055249,0.138526289,7.218846355,1.0,Outer Well,Sibling Well,20.0,207.3924924,799.556999999797,4714.157899999991,4326.934257319207
3535.433071,117142.8571,440176.08,8627.952756,Slickwater Crosslink Hybrid,33.13394846,124.50414740000002,0.266127267,3.757600683,1.0,Inner Well,Infill Child Well,53.0,34.52071963,687.2469999999739,4675.16810000001,4044.5307566236197
4437.992126,182857.1429,1321109.121,4128.937008,Slickwater Only,41.20267402,297.6817181,0.138411839,7.224815506,1.0,Standalone Well,Standalone Well,41.0,28.28571866,188.3513355186442,589.6644000000088,927.81064961844
3160.433071,121171.292851,492490.4334,7674.212598,Undefined,30.102979952,155.83004680000002,0.20127014189999998,5.3335182602,1.0,Standalone Well,Standalone Well,26.4,1.500793883,267.7469999997411,4040.5734999999404,3217.480967285076
4478.346457,270950.6231,1132306.175,8840.13835388412,Slickwater Crosslink Hybrid,60.50238089,252.8402361,0.239290952,4.179012996,1.0,Standalone Well,Standalone Well,16.0,181.9159012,37.67339200200513,168.3662113180617,4607.36656248157
4676.1811020000005,349571.4286,851399.6318,8840.13835388412,Slickwater Crosslink Hybrid,74.75575067,182.0715693,0.410584425,2.435552686,1.0,Outer Well,Infill Child Well,15.0,197.02384,5134.751999999862,685.5045999999857,4685.8883159400875
4085.629921,311000.0,1439950.2230000002,7212.614284976824,Slickwater Crosslink Hybrid,76.1204529,352.44264669999995,0.215979688,4.630065025,1.0,Standalone Well,Standalone Well,27.0,143.55954599999998,125.71100000012666,20.937599999946542,4158.89969248711
4430.11811,350428.5714,1505329.233,8840.13835388412,Crosslink Only,79.10140604,339.7943792,0.2327919789999999,4.295680649,1.0,Standalone Well,Standalone Well,40.0,128.2317659,5266.070000000065,847.5858000000007,4369.106211805339
4994.094488000001,408857.1429,1720422.7659999998,8840.13835388412,Crosslink Only,81.86812321,344.4914329,0.237649228,4.207882377,1.0,Standalone Well,Standalone Well,26.0,70.73810619,5863.043000000296,760.7243999999482,4911.176562251953
